"","Target","Type","Order","Solution_Area","NurseryHabitat_Rep","BlueCarbon_Rep","Recreation_Rep","CoastalProtection_Rep","Biodiversity_Rep","Zone"
"1","0.20","Single Service","1",172,0.2,0.06,0.06,0.05,0.07,"Potential Restoration Areas"
"2","0.20","Single Service","2",267,0.07,0.2,0.1,0.07,0.09,"Potential Restoration Areas"
"3","0.20","Single Service","3",236,0.12,0.11,0.2,0.07,0.09,"Potential Restoration Areas"
"4","0.20","Single Service","4",517,0.18,0.11,0.1,0.2,0.15,"Potential Restoration Areas"
"5","0.20","Single Service","5",441,0.28,0.18,0.18,0.14,0.2,"Potential Restoration Areas"
"6","0.20","Two Services","1 2 ",309,0.2,0.2,0.16,0.09,0.12,"Potential Restoration Areas"
"7","0.20","Two Services","1 3 ",253,0.2,0.11,0.2,0.07,0.1,"Potential Restoration Areas"
"8","0.20","Two Services","1 4 ",518,0.2,0.11,0.1,0.2,0.15,"Potential Restoration Areas"
"9","0.20","Two Services","1 5 ",441,0.28,0.18,0.18,0.14,0.2,"Potential Restoration Areas"
"10","0.20","Two Services","2 3 ",300,0.13,0.2,0.2,0.08,0.11,"Potential Restoration Areas"
"11","0.20","Two Services","2 4 ",540,0.24,0.2,0.18,0.2,0.19,"Potential Restoration Areas"
"12","0.20","Two Services","2 5 ",445,0.27,0.2,0.2,0.13,0.2,"Potential Restoration Areas"
"13","0.20","Two Services","3 4 ",528,0.23,0.15,0.2,0.2,0.17,"Potential Restoration Areas"
"14","0.20","Two Services","3 5 ",442,0.28,0.18,0.2,0.13,0.2,"Potential Restoration Areas"
"15","0.20","Two Services","4 5 ",537,0.26,0.17,0.16,0.2,0.2,"Potential Restoration Areas"
"16","0.20","Three Services","1 2 3 ",316,0.2,0.2,0.2,0.09,0.12,"Potential Restoration Areas"
"17","0.20","Three Services","1 2 4 ",540,0.24,0.2,0.18,0.2,0.19,"Potential Restoration Areas"
"18","0.20","Three Services","1 2 5 ",445,0.27,0.2,0.2,0.13,0.2,"Potential Restoration Areas"
"19","0.20","Three Services","1 3 4 ",528,0.23,0.15,0.2,0.2,0.17,"Potential Restoration Areas"
"20","0.20","Three Services","1 3 5 ",442,0.28,0.18,0.2,0.13,0.2,"Potential Restoration Areas"
"21","0.20","Three Services","1 4 5 ",537,0.26,0.17,0.16,0.2,0.2,"Potential Restoration Areas"
"22","0.20","Three Services","2 3 4 ",542,0.25,0.2,0.2,0.2,0.19,"Potential Restoration Areas"
"23","0.20","Three Services","2 3 5 ",445,0.27,0.2,0.2,0.13,0.2,"Potential Restoration Areas"
"24","0.20","Three Services","2 4 5 ",544,0.28,0.2,0.18,0.2,0.2,"Potential Restoration Areas"
"25","0.20","Three Services","3 4 5 ",539,0.25,0.17,0.2,0.2,0.2,"Potential Restoration Areas"
"26","0.20","Four Services","1 2 3 4 ",542,0.25,0.2,0.2,0.2,0.19,"Potential Restoration Areas"
"27","0.20","Four Services","1 2 3 5 ",445,0.27,0.2,0.2,0.13,0.2,"Potential Restoration Areas"
"28","0.20","Four Services","1 2 4 5 ",544,0.28,0.2,0.18,0.2,0.2,"Potential Restoration Areas"
"29","0.20","Four Services","1 3 4 5 ",539,0.25,0.17,0.2,0.2,0.2,"Potential Restoration Areas"
"30","0.20","Four Services","2 3 4 5 ",545,0.28,0.2,0.2,0.2,0.2,"Potential Restoration Areas"
"31","0.20","Five Services","1 2 3 4 5 ",545,0.28,0.2,0.2,0.2,0.2,"Potential Restoration Areas"
