"","Nursery Habitat","Blue Carbon","Recreation","Coastal Protection","Biodiversity"
"Nursery Habitat",1,-0.15653261089586,-0.136784167603204,0.497808537702719,0.377644679036167
"Blue Carbon",-0.15653261089586,1,0.214686601462968,-0.285678570300426,-0.0265845760992012
"Recreation",-0.136784167603204,0.214686601462968,1,-0.308184472893462,0.0545095458711676
"Coastal Protection",0.497808537702719,-0.285678570300426,-0.308184472893462,1,0.243161261630962
"Biodiversity",0.377644679036167,-0.0265845760992012,0.0545095458711676,0.243161261630962,1
